ha_x;ha_y;anz_vzae;anz_vzae_w;anz_besch;anz_ast;ht;widl;handel;finanz;freiedl;gewerbe;gesundheit;bau;sonstdl;inform;unterricht;verkehr;uebrige;anz_vzae_w_share;ht_share;widl_share;handel_share;finanz_share;freiedl_share;gewerbe_share;gesundheit_share;bau_share;sonstdl_share;inform_share;unterricht_share;verkehr_share;uebrige_share
2671950;1251050;4.118764;0.3399991;6;6;0;0;0;0;0;0;0;0.5983178;0;0;0;2;1.5204462;0.0825488180434713;0;0;0;0;0;0;0;0.14526634689436;0;0;0;0.485582567974276;0.369151085131365
2671950;1251250;11.5105045;1.8364995;12;5;0;0;8.52701;0;0;0;0;2.9834945;0;0;0;0;0;0.159549870294564;0;0;0.7408024557047;0;0;0;0;0.2591975442953;0;0;0;0;0
2671950;1252350;97.9776452;70.1645773;130;3;0;0;88.055241;0;0;0;0;0;0;0;0;0;9.9224042;0.71612843069227;0;0;0.898727876346226;0;0;0;0;0;0;0;0;0;0.101272123653774
2671950;1253450;4.3076652;1.0740679;6;5;0;0;1.2913357;0;0;0;0;1;0.6093431;0;0;1.4069864;-8.88178419700125e-16;0.249338760124626;0;0;0.299776245377658;0;0;0;0;0.232144317993887;0.141455538373781;0;0;0.326623898254674;-2.06185573498174e-16
2671950;1253950;6.4131999;2.5387106;9;6;0;5.8038568;0;0;4.1641159;0;0;0;0.6093431;1.2997418;0;0;0.339999100000001;0.395857082203223;0;0.90498610529823;0;0;0.64930393016441;0;0;0;0.0950138947017697;0.202666659431589;0;0;0.0530155157022317
2671950;1257250;23.6;18.83;53;3;0;23.6;0;0;0;0;0;0;0;0;23.6;0;0;0.797881355932203;0;1;0;0;0;0;0;0;0;0;1;0;0
2671950;1261250;5.2834943;4.1748497;12;7;0;4.3248497;0;0;0.15;0.6702346;0.3848497;0;0;0;3.79;0;0.28841;0.790168298279417;0;0.818558600508001;0;0;0.0283903022285838;0.126854419053693;0.0728399953038655;0;0;0;0.717328302975552;0;0.0545869804383057
2672050;1249950;6.0476142;0.15;7;3;0;0;2.905867;0;0;0.9917472;0;0;0;0;0;0;2.15;0.0248031694878949;0;0;0.480498078068538;0;0;0.163989825938301;0;0;0;0;0;0;0.35551209599316
2672050;1250450;10.0254717;4.4784006;17;5;0;0.3399991;0;0;0;0;0;0;5.5176904;0;0;0;4.5077813;0.446702233471967;0;0.0339135264827489;0;0;0;0;0;0;0.550367161277808;0;0;0;0.449632838722192
2672050;1250550;7.1954462;0.6093431;9;4;0;0;0.2828671;0;0;0;0;5.3346137;0.6093431;0;0;0.9686223;0;0.0846845467345722;0;0;0.0393119609455213;0;0;0;0;0.741387476429189;0.0846845467345722;0;0;0.134616015890717;0
2672050;1251050;5.3088133;1.15;7;3;0;1;0;0;0;0;0;0;4.3088133;0;1;0;0;0.216620916015261;0;0.188366013926314;0;0;0;0;0;0;0.811633986073686;0;0.188366013926314;0;0
2672050;1251250;7.6869148;2.02341;11;6;0;1.8052596;2.6069063;1.8052596;0;0;0;0;0;0;0;0.7160637;2.5586852;0.263227842723065;0;0.234848394573074;0.339135578815053;0.234848394573074;0;0;0;0;0;0;0;0.0931535887453833;0.33286243786649
2672050;1252350;15.7813506;5.3834797;21;9;0;3.5;8.7054942;0;3.5;2.2504496;0;0;1.3254068;0;0;0;0;0.341129212350177;0;0.221780764442303;0.551631759578296;0;0.221780764442303;0.142601837893393;0;0;0.0839856380860077;0;0;0;0
