"","BFS","J_0_6","J_7_15","J_16_19","J_20_24","J_25_44","J_45_64","J_65_79","J_80P","MANN","FRAU","SCHWEIZ","AUSLAND","STICHTAG","TOT","GKODE_HEKTARMP","GKODN_HEKTARMP"
"239",121,5,3,3,5,33,22,12,0,41,42,51,32,2018-03-31,83,2703850,1243450
"240",111,2,5,3,0,15,12,7,26,22,48,58,12,2018-03-31,70,2707150,1243850
"241",56,1,3,0,3,11,14,5,2,19,20,36,3,2018-03-31,39,2686350,1264150
"242",261,2,5,0,4,8,2,0,0,14,7,17,4,2018-03-31,21,2681450,1242850
"243",230,0,1,2,3,1,12,1,1,9,12,21,0,2018-03-31,21,2701450,1258450
"244",248,1,3,2,5,1,17,4,3,18,18,28,8,2018-03-31,36,2677750,1245950
"245",35,0,0,0,1,2,6,5,0,8,6,14,0,2018-03-31,14,2691350,1275650
"246",71,3,10,1,1,17,15,11,3,35,26,49,12,2018-03-31,61,2680350,1273250
"247",53,2,8,2,3,14,7,0,0,18,18,28,8,2018-03-31,36,2682550,1263350
"248",214,0,0,0,1,2,4,3,1,6,5,11,0,2018-03-31,11,2696250,1270050
"249",228,5,3,2,5,20,27,5,3,40,30,43,27,2018-03-31,70,2705950,1255350
"250",83,2,1,0,0,10,3,3,4,10,13,17,6,2018-03-31,23,2674950,1257250
"251",230,0,0,1,1,1,4,7,1,7,8,11,4,2018-03-31,15,2697750,1261750
"252",192,2,3,1,0,2,9,6,1,12,12,24,0,2018-03-31,24,2696050,1238450
"253",195,1,2,0,3,3,6,13,2,15,15,29,1,2018-03-31,30,2692150,1243050
"254",219,0,0,0,0,2,7,2,2,6,7,13,0,2018-03-31,13,2703550,1262150
"255",115,6,2,0,0,13,2,1,0,10,14,22,2,2018-03-31,24,2699850,1241850
"256",231,6,5,0,5,11,12,6,3,26,22,40,8,2018-03-31,48,2702050,1256150
"257",141,3,3,4,1,5,11,3,0,12,18,21,9,2018-03-31,30,2684550,1238750
"258",88,0,0,0,0,8,7,11,3,15,14,22,7,2018-03-31,29,2677950,1261750
"259",248,3,6,2,3,8,22,12,11,32,35,59,8,2018-03-31,67,2676350,1247450
"260",36,3,2,2,0,6,8,7,0,17,11,26,2,2018-03-31,28,2701850,1276650
"261",96,3,0,0,3,8,2,1,0,10,7,10,7,2018-03-31,17,2677350,1255550
"262",298,6,8,2,0,11,6,8,6,23,24,46,1,2018-03-31,47,2701050,1264750
"263",191,0,2,0,2,3,3,2,2,4,10,10,4,2018-03-31,14,2689950,1249350
"264",28,0,1,2,1,4,6,0,1,9,6,13,2,2018-03-31,15,2688650,1270050
"265",151,2,3,3,2,23,19,12,12,33,43,62,14,2018-03-31,76,2687850,1239250
"266",230,0,4,2,0,3,3,2,0,7,7,11,3,2018-03-31,14,2700850,1262650
"267",191,2,12,4,3,10,20,1,0,25,27,45,7,2018-03-31,52,2690350,1249950
"268",9,0,1,4,4,2,8,0,0,7,12,19,0,2018-03-31,19,2677950,1233050
"269",53,14,7,1,3,37,15,6,0,41,42,59,24,2018-03-31,83,2682450,1263650
"270",248,1,2,0,0,5,9,7,1,12,13,25,0,2018-03-31,25,2677850,1245850
"271",159,0,0,1,1,2,5,6,0,9,6,14,1,2018-03-31,15,2693150,1235350
"272",231,0,2,0,1,4,1,3,0,6,5,6,5,2018-03-31,11,2702250,1256450
"273",230,24,8,2,23,144,23,14,3,124,117,181,60,2018-03-31,241,2693550,1262750
"274",96,2,4,2,1,5,13,0,0,11,16,25,2,2018-03-31,27,2678550,1255150
"275",14,0,13,5,0,5,26,6,1,25,31,55,1,2018-03-31,56,2678450,1243350
"276",30,5,1,0,0,9,3,0,0,9,9,18,0,2018-03-31,18,2693050,1272150
"277",142,3,1,0,1,4,13,7,1,13,17,29,1,2018-03-31,30,2693250,1230550
"278",101,2,2,0,0,9,5,2,1,9,12,16,5,2018-03-31,21,2675250,1260450
"279",65,2,0,1,0,2,2,6,2,8,7,15,0,2018-03-31,15,2689150,1260150
"280",131,2,3,0,0,4,9,1,2,10,11,9,12,2018-03-31,21,2682050,1239750
"281",58,6,19,1,4,12,24,0,0,31,35,60,6,2018-03-31,66,2679850,1267750
"282",213,1,5,0,0,5,7,9,0,14,13,27,0,2018-03-31,27,2693650,1258950
"283",157,0,5,2,0,6,10,4,1,12,16,27,1,2018-03-31,28,2697350,1235650
"284",261,1,1,0,3,14,9,0,0,14,14,16,12,2018-03-31,28,2678950,1247250
"285",25,5,1,1,1,9,5,2,4,11,17,26,2,2018-03-31,28,2688550,1280150
"286",243,0,0,0,3,3,8,1,0,10,5,8,7,2018-03-31,15,2672850,1250950
"287",158,0,0,1,0,2,9,2,0,5,9,14,0,2018-03-31,14,2699450,1232450
"288",295,1,4,0,0,4,6,1,2,9,9,7,11,2018-03-31,18,2688650,1234450
"289",297,2,5,1,2,6,16,1,0,16,17,32,1,2018-03-31,33,2707450,1249350
"290",101,2,3,0,5,14,11,1,0,20,16,20,16,2018-03-31,36,2675450,1260350
"291",141,2,1,2,0,9,9,6,0,15,14,18,11,2018-03-31,29,2685350,1238450
"292",13,1,2,0,2,6,8,2,2,10,13,18,5,2018-03-31,23,2679550,1241550
"293",28,5,4,2,3,10,18,4,1,22,25,35,12,2018-03-31,47,2688350,1270050
"294",261,1,2,1,0,12,3,2,0,8,13,9,12,2018-03-31,21,2682950,1251750
